ID	Type	Description	DataCoding
0	Sequence	Encoded anonymised participant ID
3	Integer	Verbal interview duration
4	Integer	Biometrics duration
5	Integer	Sample collection duration
6	Integer	Conclusion duration
19	Categorical (single)	Heel ultrasound method	100260
21	Categorical (single)	Weight method	100261
23	Categorical (single)	Spirometry method	100270
31	Categorical (single)	Sex	9
34	Integer	Year of birth
35	Categorical (single)	Was blood sampling attempted	7
46	Integer	Hand grip strength (left)
47	Integer	Hand grip strength (right)
48	Continuous	Waist circumference
49	Continuous	Hip circumference
50	Continuous	Standing height
52	Categorical (single)	Month of birth	8
53	Date	Date of attending assessment centre
54	Categorical (single)	UK Biobank assessment centre	10
62	Categorical (single)	Willing to attempt cognitive tests	100641
68	Integer	Number of blood samples taken
74	Integer	Fasting time
77	Continuous	Heel bone ultrasound T-score, manual entry
78	Continuous	Heel bone mineral density (BMD) T-score, automated
84	Integer	Cancer year/age first occurred	37
87	Integer	Non-cancer illness year/age first occurred	37
92	Integer	Operation year/age first occurred	37
93	Integer	Systolic blood pressure, manual reading
94	Integer	Diastolic blood pressure, manual reading
95	Integer	Pulse rate (during blood-pressure measurement)
102	Integer	Pulse rate, automated reading
111	Categorical (single)	Aide-memoire completed	7
120	Categorical (single)	Birth weight known	100258
129	Integer	Place of birth in UK - north co-ordinate	170
130	Integer	Place of birth in UK - east co-ordinate	170
132	Categorical (single)	Job code	2
134	Integer	Number of self-reported cancers
135	Integer	Number of self-reported non-cancer illnesses
136	Integer	Number of operations, self-reported
137	Integer	Number of treatments/medications taken
189	Continuous	Townsend deprivation index at recruitment
396	Integer	Number of columns displayed in round
397	Integer	Number of rows displayed in round
398	Integer	Number of correct matches in round
399	Integer	Number of incorrect matches in round
400	Integer	Time to complete round	402
401	Categorical (single)	Index for card A in round	92
402	Categorical (single)	Index for card B in round	92
403	Integer	Number of times snap-button pressed
404	Integer	Duration to first press of snap-button in each round
630	Integer	Touchscreen duration
670	Categorical (single)	Type of accommodation lived in	100286
680	Categorical (single)	Own or rent accommodation lived in	100287
699	Integer	Length of time at current address	100290
709	Integer	Number in household	100291
728	Categorical (single)	Number of vehicles in household	100293
738	Categorical (single)	Average total household income before tax	100294
757	Integer	Time employed in main current job	100290
767	Integer	Length of working week for main job	100291
777	Integer	Frequency of travelling from home to job workplace	100298
